config,chunk_id,source,heading_path,start,end,tokens,body_tokens,chars,clean_start,clean_end,sections,units
A,a5e8cad0-7d2d-4754-a406-8e62c86d3d72,potato/potato_earrly_blight.txt,,842,1758,361,263,1114,True,True,,
A,2e37dd24-3880-4f71-865f-4bc4f18de566,potato/potato_earrly_blight.txt,,1638,2589,370,272,1149,True,True,,
A,fade1994-9fd7-40b7-a2a7-f5119fdefb87,potato/potato_earrly_blight.txt,,2447,3436,386,288,1187,True,True,,
A,826cd2f8-1e55-409c-b22d-4626e3d87e2c,potato/potato_earrly_blight.txt,,3319,4265,371,273,1144,True,True,,
A,78dc8b01-fc15-4409-be84-da321f3ca156,potato/potato_earrly_blight.txt,,4142,5118,394,296,1174,True,True,,
A,f745f486-ee5e-41ab-9ef2-fcc6bbfba208,potato/potato_earrly_blight.txt,,4989,5939,371,273,1148,True,True,,
A,4ee5feac-115f-4f54-b835-a66ed23d7d8e,potato/potato_earrly_blight.txt,,5813,6762,383,285,1147,True,True,,
A,2fb96141-1736-4543-8fe6-802915338e0e,potato/potato_earrly_blight.txt,,6659,7635,377,279,1174,True,True,,
A,13fda710-db32-4b5b-80a9-8400ae2ed985,potato/potato_earrly_blight.txt,,7541,8476,357,259,1133,True,True,,
A,7a97879a-2d19-4334-b02c-d678d35d0a8f,potato/potato_earrly_blight.txt,,8411,9387,379,281,1174,True,True,,
A,2f432f2f-a16c-4e80-8c30-bd6cd42907de,potato/potato_earrly_blight.txt,,9313,10272,371,273,1157,True,True,,
A,833dacc1-d857-4592-99b2-107176a86b6e,potato/potato_earrly_blight.txt,,10260,11198,354,256,1136,True,True,,
A,2c73e315-3c51-45e8-bac7-193f3afdc8b5,potato/potato_earrly_blight.txt,,11154,12125,366,268,1169,True,True,,
A,d53a352b-5ffa-4eb3-bbe0-d85641c5228a,potato/potato_earrly_blight.txt,,11981,12517,249,151,734,True,True,,
A,6adb3856-9df4-4e3b-b83d-2e52990356ec,potato/potato_earrly_blight.txt,,12398,13338,382,284,1138,True,True,,
A,003b283f-4ac8-41a4-b414-22b64cc309a5,potato/potato_earrly_blight.txt,,13199,14162,373,275,1161,True,True,,
A,a0b73de9-fd20-4013-8841-649f078980b4,potato/potato_earrly_blight.txt,,14062,14298,167,69,434,True,True,,
A,db8ab13e-8c6d-440f-8f8d-6cbfcff767d9,potato/potato_earrly_blight.txt,,14300,15251,363,265,1149,True,True,,
A,33b89be5-ae5d-4e62-8966-24c1f632718e,potato/potato_earrly_blight.txt,,15110,15821,292,194,909,True,True,,
A,6098f297-6ad8-4e5f-b477-4d1838a68708,squash/squash_powdery_mildew.txt,,0,984,370,279,1172,True,True,,
A,03ec5d60-4535-49bd-81e2-81829036e9df,squash/squash_powdery_mildew.txt,,847,1842,380,289,1183,True,True,,
A,eddd47d8-c552-43ba-b28d-90b8735fc304,squash/squash_powdery_mildew.txt,,1773,2764,376,285,1179,True,True,,
A,e5a2d6d7-4ac8-4f00-9b84-2a3bd8072e44,squash/squash_powdery_mildew.txt,,2635,3625,352,261,1178,True,True,,
A,3cc49057-35c4-49aa-908c-1c034d52b2a8,squash/squash_powdery_mildew.txt,,3527,4516,377,286,1177,True,True,,
A,31b47740-e937-41d8-98f8-bb66c07774d2,squash/squash_powdery_mildew.txt,,4382,5361,378,287,1167,True,True,,
A,fd0576e4-424b-4a5e-95b2-521a64e88372,squash/squash_powdery_mildew.txt,,5260,6205,387,296,1133,True,True,,
A,cdae506c-02ab-4e35-b42a-31745bd74acf,squash/squash_powdery_mildew.txt,,6062,6988,341,250,1114,True,True,,
A,40ad010d-b244-4344-b2df-12039a4a3ba9,squash/squash_powdery_mildew.txt,,6891,7785,345,254,1082,True,True,,
A,d5599bd1-7e97-4338-84a9-15edb10448d5,squash/squash_powdery_mildew.txt,,7695,8636,360,269,1129,True,True,,
A,4baff765-ceff-439d-95f8-8e162940463c,squash/squash_powdery_mildew.txt,,8617,9521,341,250,1092,True,True,,
A,335f2daa-c0b5-4102-9a28-d7cfd8055926,squash/squash_powdery_mildew.txt,,9378,10324,331,240,1134,True,True,,
A,2091a026-d31c-4569-badb-f6d01f1098e6,squash/squash_powdery_mildew.txt,,10176,11119,346,255,1131,True,True,,
A,427d1940-e650-4979-b138-d4f536fd6d37,squash/squash_powdery_mildew.txt,,10980,11878,322,231,1086,True,True,,
A,254acffa-88b3-44bd-8444-5d769e54ccfa,squash/squash_powdery_mildew.txt,,11752,12375,263,172,811,True,True,,
A,0f4fa656-7aee-4466-9cdf-7544b0462c4f,squash/squash_powdery_mildew.txt,,12257,13227,383,292,1158,True,True,,
A,5850fbb4-9f97-45d0-b3bf-f8b60f9d6429,squash/squash_powdery_mildew.txt,,13229,14205,362,271,1164,True,True,,
